Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N),Q0,Q1,Q2,Q3,R
1740036674.5821,0.0034,0.1152,-0.0068,-0.1648,-7.6410,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.5921,0.0042,0.0511,-0.0080,-0.0694,-4.5504,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.6021,0.0045,0.0561,-0.0084,-0.0779,-5.0004,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.6132,0.0048,0.0313,-0.0087,-0.0414,-3.8010,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.6221,0.0050,0.0700,-0.0090,-0.1009,-6.0343,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.6320,0.0055,0.0205,-0.0096,-0.0277,-3.6087,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.6421,0.0055,0.0061,-0.0097,-0.0068,-2.8954,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.6521,0.0059,0.0294,-0.0104,-0.0434,-4.4088,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.6621,0.0061,0.0418,-0.0106,-0.0635,-5.2329,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.6721,0.0065,0.0228,-0.0113,-0.0363,-4.4701,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.6821,0.0066,0.0024,-0.0114,-0.0073,-3.4930,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.6922,0.0066,-0.0103,-0.0114,0.0101,-2.9283,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.7021,0.0064,-0.0145,-0.0112,0.0146,-2.7422,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.7121,0.0062,-0.0261,-0.0110,0.0304,-2.1706,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.7220,0.0059,-0.0511,-0.0106,0.0663,-0.8072,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.7320,0.0053,-0.0548,-0.0099,0.0700,-0.5267,11.1111,0.2500,25.0000,0.2500,0.0044
1740036674.7420,0.0048,-0.0765,-0.0091,0.1011,0.7479,11.1111,0.2500,25.0000,0.2500,0.0044
